t,x,y
0.000000E0,1.518861E0,1.014521E0
3.333333E-2,1.518700E0,1.014492E0
6.666667E-2,1.518709E0,1.014494E0
1.000000E-1,1.518715E0,1.014495E0
1.333333E-1,1.518715E0,1.014500E0
1.666667E-1,1.518721E0,1.014506E0
2.000000E-1,1.518719E0,1.014511E0
2.333333E-1,1.518722E0,1.014508E0
2.666667E-1,1.518721E0,1.014512E0
3.000000E-1,1.518733E0,1.014513E0
3.333333E-1,1.518740E0,1.014541E0
3.666667E-1,1.518754E0,1.014558E0
4.000000E-1,1.518767E0,1.014524E0
4.333333E-1,1.518763E0,1.014527E0
4.666667E-1,1.518782E0,1.014525E0
5.000000E-1,1.518788E0,1.014519E0
5.333333E-1,1.518776E0,1.014515E0
5.666667E-1,1.518774E0,1.014516E0
6.000000E-1,1.518791E0,1.014549E0
6.333333E-1,1.518784E0,1.014539E0
6.666667E-1,1.518765E0,1.014537E0
7.000000E-1,1.518763E0,1.014529E0
7.333333E-1,1.518761E0,1.014509E0
7.666667E-1,1.518764E0,1.014511E0
8.000000E-1,1.518772E0,1.014504E0
8.333333E-1,1.518774E0,1.014507E0
8.666667E-1,1.518766E0,1.014518E0
9.000000E-1,1.518777E0,1.014516E0
9.333333E-1,1.518765E0,1.014523E0
9.666667E-1,1.518764E0,1.014521E0
1.000000E0,1.518765E0,1.014523E0
1.033333E0,1.518764E0,1.014524E0
1.066667E0,1.518719E0,1.014495E0
1.100000E0,1.518740E0,1.014518E0
1.133333E0,1.518741E0,1.014521E0
1.166667E0,1.518732E0,1.014520E0
1.200000E0,1.518733E0,1.014525E0
1.233333E0,1.518727E0,1.014516E0
1.266667E0,1.518725E0,1.014513E0
1.300000E0,1.518723E0,1.014519E0
1.333333E0,1.518728E0,1.014518E0
1.366667E0,1.518744E0,1.014509E0
1.400000E0,1.518748E0,1.014508E0
1.433333E0,1.518764E0,1.014508E0
1.466667E0,1.518762E0,1.014505E0
1.500000E0,1.518747E0,1.014516E0
1.533333E0,1.518733E0,1.014533E0
1.566667E0,1.518747E0,1.014528E0
1.600000E0,1.518766E0,1.014535E0
1.633333E0,1.518759E0,1.014535E0
1.666667E0,1.518461E0,1.014617E0
1.700000E0,1.518003E0,1.014790E0
1.733333E0,1.518143E0,1.014743E0
1.766667E0,1.518369E0,1.014735E0
1.800000E0,1.518394E0,1.014707E0
1.833333E0,1.518658E0,1.014568E0
1.866667E0,1.518946E0,1.014544E0
1.900000E0,1.518907E0,1.014570E0
1.933333E0,1.518981E0,1.014449E0
1.966667E0,1.518938E0,1.014447E0
2.000000E0,1.518896E0,1.014464E0
2.033333E0,1.518926E0,1.014485E0
2.066667E0,1.518931E0,1.014522E0
2.100000E0,1.518896E0,1.014533E0
2.133333E0,1.518851E0,1.014539E0
2.166667E0,1.518822E0,1.014546E0
2.200000E0,1.518826E0,1.014521E0
2.233333E0,1.518810E0,1.014516E0
2.266667E0,1.518803E0,1.014532E0
2.300000E0,1.518794E0,1.014533E0
2.333333E0,1.518777E0,1.014547E0
2.366667E0,1.518773E0,1.014546E0
2.400000E0,1.518779E0,1.014556E0
2.433333E0,1.518777E0,1.014540E0
2.466667E0,1.518761E0,1.014556E0
2.500000E0,1.518767E0,1.014545E0
2.533333E0,1.518746E0,1.014567E0
2.566667E0,1.518745E0,1.014569E0
2.600000E0,1.518757E0,1.014562E0
2.633333E0,1.518743E0,1.014585E0
2.666667E0,1.518721E0,1.014564E0
2.700000E0,1.518732E0,1.014575E0
2.733333E0,1.518724E0,1.014596E0
2.766667E0,1.518743E0,1.014595E0
