i,pos0,pos1,pos2,pos3,pos4,pos5,pos6,vel0,vel1,vel2,vel3,vel4,vel5,vel6,action,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15
0,-0.00010753182141343132,0.00020190500072203577,0.07944066822528839,1.449465274810791,0.636896014213562,-0.5723903179168701,0.317181795835495,-0.020662689581513405,0.03843255341053009,-0.10644764453172684,-0.1627761721611023,-1.2047103643417358,-0.04114212468266487,-3.655582904815674,[-0.23456927],-0.2345692664384842,0.7407087683677673,0.5378217101097107,0.4026109278202057,-0.001610312145203352,-0.1098441332578659,-0.09084095060825348,-0.14415216445922852,-0.20662689208984375,0.3843255341053009,-1.064476490020752,-0.0731116533279419,0.0317181795835495,0.7182686924934387,0.6957658529281616,0.0
1,-0.00037090553087182343,0.0006793619249947369,0.07882481068372726,1.4373126029968262,0.6253413558006287,-0.565674901008606,0.2716211974620819,-0.051168859004974365,0.09076718240976334,-0.11679832637310028,-0.3909686803817749,-2.8660080432891846,-0.07745372503995895,-8.686479568481445,[-0.5559571],-0.5559570789337158,0.7442593574523926,0.5369469523429871,0.3971605896949768,-0.005407484248280525,-0.2597317695617676,-0.21909956634044647,-0.34221944212913513,-0.5116885900497437,0.9076718091964722,-1.1679832935333252,-0.17372958362102509,0.02716211974620819,0.7182686924934387,0.6957658529281616,0.0
2,-0.0007267436594702303,0.0012892610393464565,0.0772082582116127,1.421903133392334,0.6103607416152954,-0.5571686029434204,0.2129509449005127,-0.020591048523783684,0.034228790551424026,-0.20269767940044403,-0.15069246292114258,-1.0934276580810547,-0.018410366028547287,-3.3092308044433594,[0.31235528],0.31235527992248535,0.7487821578979492,0.5357966423034668,0.39005446434020996,-0.010235710069537163,-0.09819182008504868,-0.08519294857978821,-0.13019752502441406,-0.20591048896312714,0.34228789806365967,-2.0269768238067627,-0.0661846175789833,0.0212950948625803,0.7182686924934387,0.6957658529281616,0.0
3,-0.0006321405526250601,0.0011312784627079964,0.07476141303777695,1.4258862733840942,0.614267885684967,-0.5593692064285278,0.2282075136899948,0.036369286477565765,-0.061129871755838394,-0.2825237214565277,0.26820075511932373,1.9484007358551025,0.03627118095755577,5.898017883300781,[0.5745112],0.5745111703872681,0.7476109266281128,0.5360981225967407,0.39191293716430664,-0.00898769125342369,0.17526504397392273,0.15131770074367523,0.23210249841213226,0.36369287967681885,-0.6112987399101257,-2.825237274169922,0.1179603561758995,0.02282075211405754,0.7182686924934387,0.6957658529281616,0.0
4,-0.0007698939880356193,0.0013615279458463192,0.07125934958457947,1.4200891256332397,0.6085698008537292,-0.5561718344688416,0.20596663653850555,-0.05979473143815994,0.09900232404470444,-0.4110916554927826,-0.43645915389060974,-3.1648643016815186,-0.051274579018354416,-9.577471733093262,[-0.96480286],-0.9648028612136841,0.7493159770965576,0.5356577634811401,0.38920342922210693,-0.01080744806677103,-0.28405362367630005,-0.2468775510787964,-0.37677842378616333,-0.5979472994804382,0.9900232553482056,-4.110916614532471,-0.19154943525791168,0.020596664398908615,0.7182686924934387,0.6957658529281616,0.0
5,-0.0015061624580994248,0.002510669408366084,0.0666213184595108,1.3913801908493042,0.5795128345489502,-0.5403434634208679,0.09352033585309982,-0.08698073774576187,0.12890693545341492,-0.5109609365463257,-0.5876870155334473,-4.22387170791626,0.009434551000595093,-12.756720542907715,[-0.23463862],-0.23463861644268036,0.7578028440475464,0.5333816409111023,0.37529271841049194,-0.01985391415655613,-0.3724386692047119,-0.34042593836784363,-0.5005813837051392,-0.8698073625564575,1.289069414138794,-5.109609603881836,-0.2551344037055969,0.009352033957839012,0.7182686924934387,0.6957658529281616,0.0
6,-0.0018271775916218758,0.0029740927275270224,0.06113124638795853,1.3798898458480835,0.5674634575843811,-0.5340052843093872,0.04734928533434868,0.01955028995871544,-0.027518579736351967,-0.5846475958824158,0.12733416259288788,0.9134817123413086,-0.010212045162916183,2.756526470184326,[0.9352731],0.9352731108665466,0.7612178325653076,0.5324274897575378,0.3694811165332794,-0.023492885753512383,0.0798356756567955,0.07476118206977844,0.10802522301673889,0.19550290703773499,-0.27518579363822937,-5.846476078033447,0.055130526423454285,0.004734928719699383,0.7182686924934387,0.6957658529281616,0.0
7,-0.0010789264924824238,0.0018661542562767863,0.054905787110328674,1.4074736833572388,0.5959693789482117,-0.5492499470710754,0.15700499713420868,0.12077819555997849,-0.18761691451072693,-0.6544568538665771,0.8438909649848938,6.0782012939453125,0.03489665314555168,18.37078094482422,[1.6278155],1.0,0.7530367970466614,0.5346721410751343,0.38320016860961914,-0.014790867455303669,0.5402254462242126,0.4831412732601166,0.7216534614562988,1.2077819108963013,-1.876169204711914,-6.5445685386657715,0.3674156069755554,0.015700500458478928,0.7182686924934387,0.6957658529281616,0.0
8,-4.297046871215571e-06,2.9921233362983912e-05,0.04788517206907272,1.453984022140503,0.6411062479019165,-0.5749896168708801,0.33382362127304077,0.09578905254602432,-0.1794208139181137,-0.7455397844314575,0.7577413320541382,5.61967134475708,0.19766978919506073,17.05617332458496,[-0.01098554],-0.010985538363456726,0.7393932342529297,0.5381252765655518,0.40462175011634827,-0.0002478987444192171,0.5128557085990906,0.4228924512863159,0.6726198196411133,0.957890510559082,-1.7942081689834595,-7.455397605895996,0.34112346172332764,0.0333823636174202,0.7182686924934387,0.6957658529281616,0.0
9,0.00030881003476679325,-0.0006853981176391244,0.04250170290470123,1.467641830444336,0.6644225120544434,-0.5824168920516968,0.4227055013179779,-0.05124726891517639,0.06527626514434814,0.04279634356498718,-2.3274073600769043,-0.6758660078048706,-0.13869608938694,1.5995304584503174,[-4.201788],-1.0,0.7351698279380798,0.5369033217430115,0.4137648344039917,0.007663998752832413,-0.3180696368217468,-0.20630332827568054,0.1412838250398636,-0.5124726891517639,0.6527626514434814,0.4279634356498718,0.03199061006307602,0.04227055236697197,0.7182686924934387,0.6957658529281616,0.0
10,0.00016894245345611125,-0.0008602362941019237,0.04308605566620827,1.4580410718917847,0.6917093992233276,-0.5765913128852844,0.5191776752471924,0.02002861723303795,-0.09390633553266525,0.044927988201379776,-1.8851293325424194,4.196784496307373,0.14894883334636688,16.8752384185791,[2.5837235],1.0,0.736911416053772,0.5289448499679565,0.42058244347572327,0.01700604520738125,0.1066625714302063,0.14099952578544617,0.7465404868125916,0.20028617978096008,-0.9390633702278137,0.44927987456321716,0.3375047743320465,0.05191776901483536,0.7182686924934387,0.6957658529281616,0.0
11,0.0005508254980668426,-0.0025114030577242374,0.04342186823487282,1.4853696823120117,0.7540870308876038,-0.5909180045127869,0.7561168074607849,0.03907918557524681,-0.22539079189300537,0.027075495570898056,-1.5578173398971558,8.230270385742188,0.5978231430053711,29.757726669311523,[0.9334032],0.9334031939506531,0.7277315258979797,0.5225471258163452,0.44254782795906067,0.03876340016722679,0.4680890440940857,0.411391019821167,1.2532284259796143,0.3907918632030487,-2.2539079189300537,0.27075496315956116,0.5951545238494873,0.07561168074607849,0.7182686924934387,0.6957658529281616,0.0
12,0.0009984381031244993,-0.005256032105535269,0.04373294487595558,1.5380439758300781,0.843626081943512,-0.6174784898757935,1.1027640104293823,0.013516168110072613,-0.30432212352752686,0.029436321929097176,-2.2407753467559814,10.630399703979492,1.4750484228134155,39.028133392333984,[0.8079227],0.8079227209091187,0.7111212611198425,0.5150814652442932,0.47308218479156494,0.07204766571521759,0.6631484031677246,0.4296129643917084,1.6476097106933594,0.13516168296337128,-3.0432212352752686,0.29436323046684265,0.7805626392364502,0.11027640104293823,0.7182686924934387,0.6957658529281616,0.0
13,0.0007480438798666,-0.008401347324252129,0.044030677527189255,1.605400800704956,0.9524416327476501,-0.6508713960647583,1.5282227993011475,-0.09169572591781616,-0.3059409558773041,0.016785120591521263,-3.58188796043396,11.885926246643066,2.2246475219726562,45.68790054321289,[0.72677743],0.7267774343490601,0.6904700398445129,0.5038265585899353,0.5061489343643188,0.11499182879924774,0.7225770950317383,0.3088051676750183,1.9495368003845215,-0.9169572591781616,-3.0594096183776855,0.16785120964050293,0.9137579798698425,0.15282228589057922,0.7182686924934387,0.6957658529281616,0.0
14,-0.0009127064840868115,-0.011157257482409477,0.044051479548215866,1.679336667060852,1.079482078552246,-0.6898428201675415,2.019481658935547,-0.21488294005393982,-0.24034887552261353,-0.0022374805994331837,-6.59888219833374,12.598803520202637,2.3002798557281494,52.08452224731445,[0.78857595],0.7885759472846985,0.6684083342552185,0.4849587082862854,0.5388585329055786,0.1663629561662674,0.5682665109634399,-0.0033324561081826687,2.332979440689087,-2.148829460144043,-2.4034886360168457,-0.022374805063009262,1.041690468788147,0.2019481658935547,0.7182686924934387,0.6957658529281616,0.0
15,-0.003115083323791623,-0.01278248056769371,0.043929584324359894,1.688536524772644,1.2380435466766357,-0.680634617805481,2.567751169204712,-0.24657809734344482,-0.06397058069705963,0.01090219896286726,-12.418776512145996,12.453459739685059,0.3887779414653778,57.66130065917969,[0.7980705],0.79807049036026,0.6547608375549316,0.4452173113822937,0.5665392279624939,0.22826069593429565,-0.03755521774291992,-0.6473943591117859,2.859325408935547,-2.4657809734344482,-0.6397057771682739,0.10902199149131775,1.1532260179519653,0.2567751109600067,0.7182686924934387,0.6957658529281616,0.0
